Timestamp,"Do you currently work as a psychological scientist (i.e., conduct psychological research or teach psychology/psychological science at a university or research institute)? ",What is your highest completed university-level education in psychology/psychological science? ,Which option best describes the subfield you currently work in most of the time?,1. How common is this phenomenon in your subfield today?,1. How common is this phenomenon in psychological science in general today?,"1. If this occurs, how harmful is this phenomenon for psychological science?  ","1. Optional comment: 
Anything you’d like to add about this item?",2. How common is this phenomenon in your subfield today?,2. How common is this phenomenon in psychological science in general today?,"2. If this occurs, how harmful is this phenomenon for psychological science?  ","2. Optional comment: 
Anything you’d like to add about this item?",3. How common is this phenomenon in your subfield today?,3. How common is this phenomenon in psychological science in general today?,"3. If this occurs, how harmful is this phenomenon for psychological science?  ","3. Optional comment: 
Anything you’d like to add about this item?",4. How common is this phenomenon in your subfield today?,4. How common is this phenomenon in psychological science in general today?,"4. If this occurs, how harmful is this phenomenon for psychological science?  ","4. Optional comment: 
Anything you’d like to add about this item?",5. How common is this phenomenon in your subfield today?,5. How common is this phenomenon in psychological science in general today?,"5. If this occurs, how harmful is this phenomenon for psychological science?  ","5. Optional comment: 
Anything you’d like to add about this item?",6. How common is this phenomenon in your subfield today?,6. How common is this phenomenon in psychological science in general today?,"6. If this occurs, how harmful is this phenomenon for psychological science?  ","6. Optional comment: 
Anything you’d like to add about this item?","6. For quality control, please check number 4. ",7. How common is this phenomenon in your subfield today?,7. How common is this phenomenon in psychological science in general today?,"7. If this occurs, how harmful is this phenomenon for psychological science?  ","7. Optional comment: 
Anything you’d like to add about this item?",8. How common is this phenomenon in your subfield today?,8. How common is this phenomenon in psychological science in general today?,"8. If this occurs, how harmful is this phenomenon for psychological science?  ","8. Optional comment: 
Anything you’d like to add about this item?",9. How common is this phenomenon in your subfield today?,9. How common is this phenomenon in psychological science in general today?,"9. If this occurs, how harmful is this phenomenon for psychological science?  ","9. Optional comment: 
Anything you’d like to add about this item?",How common is this phenomenon in your subfield today?,10. How common is this phenomenon in psychological science in general today?,"10. If this occurs, how harmful is this phenomenon for psychological science?  ","10. Optional comment: 
Anything you’d like to add about this item?",11. How common is this phenomenon in your subfield today?,11. How common is this phenomenon in psychological science in general today?,"11. If this occurs, how harmful is this phenomenon for psychological science?  ","11. Optional comment: 
Anything you’d like to add about this item?",12. How common is this phenomenon in your subfield today?,12. How common is this phenomenon in psychological science in general today?,"12. If this occurs, how harmful is this phenomenon for psychological science?  ","12. Optional comment: 
Anything you’d like to add about this item?",13. How common is this phenomenon in your subfield today?,13. How common is this phenomenon in psychological science in general today?,"13. If this occurs, how harmful is this phenomenon for psychological science?  ","13. Optional comment: 
Anything you’d like to add about this item?",1. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"1. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ","1. Optional comment: 
Anything you’d like to add about this item?",2. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"2. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ","2. Optional comment: 
Anything you’d like to add about this item?",3. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"3. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ","3. Optional comment: 
Anything you’d like to add about this item?","3. For quality control, please check number 2",4. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"4. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ","4. Optional comment: 
Anything you’d like to add about this item?",5. To what extent do you agree that insufficient theory development contributes to this phenomenon?  ,"5. Assuming this phenomenon occurs, how large is the causal contribution of insufficient theory development?  ","5. Optional comment: 
Anything you’d like to add about this item?","Final comments:
Is there anything else you’d like to share?"
2/27/2026 16:09:27,"Yes, primarily",Psychology MA/MSc or equivalent,,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,2,,,,,,,
3/7/2026 12:23:00,"Yes, primarily",Psychology PhD or equivalent,Psychometrics / quantitative methods and statistics,7,7,7,,6,6,6,,7,7,7,,7,7,7,,7,7,7,,7,7,4,,4,7,7,4,,4,4,4,,5,5,4,,5,5,5,,7,7,7,,7,7,6,,7,7,7,,6,6,,7,7,,3,1,,2,7,5,,7,6,,
3/10/2026 14:29:08,"Yes, primarily",Psychology PhD or equivalent,Psychometrics / quantitative methods and statistics,5,6,5,,3,1,4,"Theory construction is undertake too much, and not done well.",4,2,4,,4,6,6,,5,6,6,,2,5,5,,4,4,4,4,,5,3,4,,6,6,6,,6,6,6,,5,6,6,,5,7,7,,7,7,5,,5,4,,5,5,,5,4,,2,4,2,,5,2,,
3/12/2026 11:56:33,"Yes, primarily",Psychology PhD or equivalent,Defelopmental psychology,7,7,5,,3,4,3,,7,6,5,,7,7,5,,7,7,5,,1,2,2,,4,3,3,2,,2,4,4,,4,4,3,,6,6,3,,6,7,6,,3,4,4,,6,5,5,,5,3,,6,4,,3,3,,2,5,6,,3,2,,Developmental psychology is misspelled on the first page (Defelopmental psychology)
3/12/2026 12:35:50,"Yes, primarily",Psychology BA/BSc (major) or equivalent,Clinical psychology / mental health,7,6,7,"The consequences are concrete. When a theory can't tell you how to time your measurements or what shape a change process should take, you end up making design decisions based on convenience rather than substance. That's not a minor limitation — it means your study may be fundamentally mismatched to the phenomenon you're trying to understand.",7,6,7,"There's a persistent confusion in PD research between describing a phenomenon and explaining it. Laying out a diagnostic framework that organizes symptoms into dimensions is valuable, but it's not the same as having a theory about why someone develops enduring interpersonal dysfunction. We need to invest far more in the latter.",6,6,6,"This plays out very clearly in longitudinal research. If your theory doesn't specify how fast a process unfolds or what shape the trajectory should take, you can't derive a meaningful hypothesis about how many assessments you need or how far apart they should be. You end up designing studies based on budget and feasibility rather than on what the theory demands.",6,6,7,,7,6,7,"When your key constructs are fuzzy, every downstream study inherits that fuzziness. Research designs that try to compare overlapping constructs end up generating ambiguous results, which then get interpreted through the lens of whichever framework the researcher already preferred. You can't build cumulative knowledge on a foundation of construct ambiguity.",7,6,6,"Tools and tutorials now exist that make formal modeling accessible to PD researchers without extensive computational backgrounds. The barrier at this point is more cultural than technical — the field simply hasn't prioritized this kind of work, and most researchers aren't trained in it.",4,5,6,5,,5,5,5,"The issue isn't valuing methods too much — it's valuing them in the wrong way. Statistical power, model fit, and convergence criteria are important, but they can't substitute for the more fundamental question of whether your research design is actually matched to the process your theory describes.",6,6,6,"A diagnostic model that categorizes symptoms dimensionally is a step forward from categorical diagnosis, but it's still a measurement framework, not an explanatory theory. The field needs to be much clearer about this distinction and invest more in the genuinely explanatory work that goes beyond pattern description.",6,6,6,,6,6,6,,7,7,7,,6,6,6,"If we want different research, we need different training. Students should learn to ask whether their study design actually matches their theory about the process, and they should have the tools to formalize and test those theories rigorously. Right now, that kind of training is essentially absent from most programs in my area.",6,5,,7,7,,7,7," I've seen this play out repeatedly in the personality functioning literature. Studies produce mixed results about whether personality functioning adds information beyond personality traits, and it's genuinely unclear whether this reflects a real conceptual problem or just the fact that neither construct is defined precisely enough to permit a clean empirical comparison. Better measurement can't solve a problem that originates in conceptual ambiguity.",2,7,7,,7,6,,
3/12/2026 13:22:57,"Yes, primarily",Psychology PhD or equivalent,Clinical psychology / mental health,6,6,2,,6,7,6,,7,7,7,It should be well said in empirical studies but publication limits this unless the journal is theory focused.,5,6,7,,7,7,7,I dislike the rampant jingle-jangle and fuzzy constructs because they don't help flourish the development of a theory.  We rely heavily on measuring these constructs and we don't get happy if a measure falls short hence creating new measures that are insufficient as well despite claim that it is complete.,7,7,2,"The only harm math--sratistics--has is that it excludes singular experiences that are also important to explore.  And when we find the ""common"" or average, it is not actually interpretable as it is not interesting.",4,6,6,5,"Publications with questionable reputations or fly-by-night journals do this a lot. They skip discussing the theory/hypotheses being tested.  This becomes dangerous when you work with novice researchers because when you ask them what theory or hypothesis was being said, they'd reply that the article does not mention one. Hence, I keep emphasizing that only reputable journals must be used.  The problem is the paywall of these publications that does not allow for access especially in a Third World country.",6,6,3,I find methods the interesting part because they give us an idea that every interesting question can be answered differently.  The problem is when the method--esp. statistics or technology--is not available.,7,7,5,"I subscribe to Dr. Loevinger's model that our theory is only as good as our measure.  So I find that if there are multiple measures offering to measure the same construct, it defeats the purpose of streamlining and generalizing a construct to capture in or falsify the theory.",7,7,7,"While different point of views clarifies a construct, it peers away the objective of how do we explain such human behavior we are trying to observe or treat.  This doesn't help clients and we just confuse the public.",7,7,7,,6,7,6,,7,7,7,,7,7,,7,7,"I think that it is important that theory proponents or their advocates should update the theory from time to time to inform researchers and readers in terms of how far they've proven their work in general publications and not on very specific journals.  Textbook or book authors too need to note the updates instead of discussing old hypotheses that are revised because it sends confusing elements to novice readers (e.g., cognitive dissonance, social identity).",6,7,,2,7,7,,7,7,"This is very noticeable in practice.  For example is the MMPI. Though proven for it's clinical measurement of symptoms, it is not theory based and offers limited association with clinical theory and current diagnosis/nosology.","While I do not mind discoverers of new ideas and theories, there should be an effort by these discoverers how to connect their discovery with the old ones that they want revised or be thrown out.  They should avoid publishing ideas that only a few talks about or few can only do it--from theory to methods.  Publications of theory development should set a higher stake that new theories should prove their status with data and application and if possible not limit the words as good intentions in first drafts can get lost with the number of words allowed by the journal. "
3/12/2026 13:47:58,"Yes, primarily",Psychology MA/MSc or equivalent,Social psychology,7,7,6,,5,5,7,,5,5,7,,7,7,7,This happens mostly because theories are under specified to the point that they are not falsifiable,5,5,5,,6,6,5,,4,7,7,6,,6,6,4,,7,7,6,,5,5,4,,5,5,7,,7,7,7,,7,7,7,,7,5,,4,3,,5,4,,2,5,4,,3,4,,
3/12/2026 14:32:35,"Yes, primarily",Psychology MA/MSc or equivalent,Psychometrics / quantitative methods and statistics,3,6,5,,5,6,6,,3,6,6,,3,7,7,,5,6,5,,2,7,4,question 6 doesn't make sense in relation to this item; formal theory modelling is useful and answering from 'not harmful to extremely harmful' is ambiguos  ,4,6,6,4,,7,5,6,,5,7,6,,3,7,7,,3,7,7,,6,7,6,,6,7,6,,3,3,,3,2,I believe that if we use Bayesian frameworks for the statistical analysis we could make great progress with this problem.,5,4,,2,6,5,,6,7,,
3/12/2026 14:59:55,"Yes, primarily",Psychology PhD or equivalent,Cognitive psychology / cognitive science,2,5,7,"The theories even when specified, lack terms and conditions under which they have been tested, and the population to which they might be generalized, esp unclear if the theoretical assumption is universality of the phenomenon (i. e., it is unclear if the phenomenon is universal or if it specific to group, condition etc)",6,7,7,"Problems such as a) emphasis on application of theory (related to funding priority), b) interdisciplinary research where non-Psychology experts (engineers, biologist, neurologist) ard agnostic to existing literature, and land up reinventing the wheel, causing 'noise' in theory development, or haphazard testing, non systematic, redundant growth of theory. ",7,5,3,"Formal hypothesis testing is rarely followed even in experimental work, Phd thesis, mostly due to misunderstanding the emphasis placed on Bayesian statistics vs. null hypothesis testing. Again, NHST prompted researchers to be more committed to theory and hypothesis, although Bayesian approach is more data-driven, and transparent it might lack the commitment to theory and hypothesis as in case of NHST. ",5,7,7,"Apart from other problems, this might be due to lack of standardized measures being used in studies, few to none common protocols, large multilab collaboration that are truly representative of population, lack of data sharing, and no incentives or motivation to replicate compared to high incentives to 'discover' or give a new theory, new construct, new scale, new intervention. ",7,7,7,"Publishing in methods journal is considered a low hanging fruit leading fewer people detailing the protocol, or specifying the materials, constructs, measures, samples used in the study. ",4,4,4,"Not sure, but probably yes. Im myself not modeller hence cannot comment. ",4,5,4,5,"Not sure but the two are integral to my work, no theory without empirical test, no empirical testing devoid of theory. ",1,3,4,Discussed earlier. ,7,6,7,"Mainly due to publications with computational approach are preferred, however these enterprise esp in brain and cognitive sciences have produced more confusion than clarity. Engineers, biologist probing the brain and adding insights or implications for mind and mental constructs without consulting a body of work done in psychology and behavioral sciences has probably led to a lot of disservice to the field. Work that deals with computational models, or uses brain probing through neuroimaging is creating silos with those who study brain-mind and cognition in healthy and in disorders. Models look like on paper but could fail to account for mental phenomenon or cognitive deficits. ",7,7,7,See ans to 9),7,7,7,,7,7,7,,7,7,7,,7,5,,7,6,,6,6,,2,7,7,,7,7,,"This is such a wonderful survey, a sign of it being well timed and well thought is that my answer to a question would be followed by the next question that takes one in the same direction, and the last part tied all answers in one place. Sadly Psychological Sciences are at risk of  further losing indentity, and coherence within the prominent theories that gave it the elegance and complexity, a lot of research seems on-the-go, casual, folk psychology, OR focused disporotionately on 'equipment' such as fMRI, EEG that will produce big data for machine learning. I hope findings from such survey serves as an eyeopener. "
3/12/2026 16:24:46,"Yes, primarily",Psychology MA/MSc or equivalent,Clinical psychology / mental health,5,6,6,"More rigorous replications and tweaking of constructs as needed. Honestly, publish or perish culture is preventing honest science and development and updating of theory. Null results are needed. ",5,7,6,,7,7,2,,2,2,7,Replication crisis and inability to publish null results.,5,6,7,,2,3,7,We have shifted into a culture of prioritizing statistics and complicated models over answering research questions. ,4,1,1,7,"We aren’t translating enough research. We are also too focused on mechanisms without initial theory and application of said theory/mechanisms. Majority of science is done by grad students, theory may need to be guided by expects. ",7,7,7,Do we need fancy stats?,6,6,7,,7,7,7,,7,7,7,,7,7,7,,5,5,6,,7,7,,5,5,,2,2,,2,7,5,,7,6,,
